dataset_id,dataset_name,ref_name,data_category,source,source_url,processed_url,chemistry,form_factor,cells,cycles,size_mb,assigned_student,reviewed_by,status,metadata_done,timeseries_done,cycle_summary_done,dataset_note_done,qc_done,last_updated,count_basis,notes,stats_scope,cells_basis,cycles_basis,volume_basis,cells_group,cycles_group,volume_group
dataset_12,Tsinghua Li-ion EV Field,2022_Tsinghua_LiIon_EV_MultiChem_MultiC_MultiT,ev,https://radar.kit.edu/radar/en/dataset/kww7jv8ajuvchcah#,https://data.mendeley.com/datasets/mcsh4hnb8b/1,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgCWAMpPvIFGSoFxZoh4ltkdARgWCDSfpiOUSa2yYdr6kC8?e=dxi7lb,Multi,EV-BMS,464 EVs,0,1408.209405,,,pending,no,no,no,no,no,2026/9/8,Full-source metrics audit 2026-09-08. Full-dataset figures from the author documentation in the raw archives (checked 2026-09-08): 464 vehicles across the three complete tar.gz archives (native charging snippets). Volume: Complete official file manifest captured 2026-09-08; author release files only.,Tsinghua University; real-world EV battery cycle data,full_source,not_applicable,unknown,known,,,
dataset_13,Comprehensive battery aging dataset for NMC/C-SiO cells,2024_KIT_Luh_NMC_18650_MultiC_MultiC_MultiT,field_data,https://data.mendeley.com/datasets/mcsh4hnb8b/1,https://radar.kit.edu/radar/en/dataset/kww7jv8ajuvchcah#,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgCviM4fNJhJR5eUQr46kGU4AXinAKoE6AGOFG1lxbY2f68?e=29gQzN,NMC,18650,228,0,81909.759488,,,pending,no,no,no,no,no,2026/9/8,"Full-source metrics audit 2026-09-08. 228 study cells shared with dataset_11; one cell-count group prevents counting these twice. Volume: Official RADAR v2 log release contentSize; full release, not the selected local logs.",3 billion data points; 228 commercial NMC/C+SiO lithium-ion cells; aged for almost 600 days,full_source,known,unknown,known,KIT_Luh_228,,
dataset_14,Stanford High-Power Cell Characterization,2025_Stanford_Onori_NMC_21700_Molicel-P42A_MultiC_MultiT,characterization,https://doi-org.remotexs.ntu.edu.sg/10.17605/OSF.IO/9CEAV,https://osf.io/9ceav/,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgCzM5vwbXzVQZlE57pKF-fZASJ4dH12luElFQBRM2-eogU?e=qnjXxJ,NMC,21700,45,0,2745.069193,,,pending,no,no,no,no,no,2026/9/8,"Full-source metrics audit 2026-09-08. 45 cells in the author high-power Molicel P42A study, Scientific Data DOI 10.1038/s41597-025-05725-y. Characterization tests are not aging-cycle totals. Volume: Complete author Dataset_Molicell_P42A.zip from OSF; expanded copies excluded.",45 Molicel P42A cells; high-power characterization and stochastic modeling; author OSF archive.,full_source,known,not_applicable,known,,,
dataset_15,IVST Changan Large-Scale NEV,2023_IVST_Changan_LiIon_EV_MultiChem_MultiC_MultiT,field_data,http://ivstskl.changan.com.cn/?p=2697,http://ivstskl.changan.com.cn/?p=2697,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgCY47Rn2592R4QabVItC3L8AXjbpHJHI59SUVsWErLxQSA?e=gfZeVM,Multi,EV-BMS,,0,74306.376155,,,pending,no,no,no,no,no,2026/9/8,"Full-source metrics audit 2026-09-08. Full-dataset figures from the author documentation in the raw archives (checked 2026-09-08): upstream release is stated as 74.3 GB of vehicle records; only a 0.1 GB sample archive is held locally, so no vehicle count is claimed. Volume: Complete upstream RAW_DATA.z01 + RAW_DATA.zip split archive; public share manifest. Local sample excluded.",IVST/Changan; real-world large-scale NEV Li-ion battery dataset,full_source,not_applicable,unknown,known,,,
dataset_16,TBSI-Lijing Pulse Voltage,2024_TBSI_Lijing_LiIon_Retired_PulseVoltage_MultiT,soh_estimation,https://zenodo.org/records/13360631,https://zenodo.org/records/13360631,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgBYcPYztbIYTapaaIao6BqHAZZLZxeAfZZMwmKkuNbaaTA?e=SFT0ii,Multi,Multi,464,0,14409.915853,,,pending,no,no,no,no,no,2026/9/8,"Full-source metrics audit 2026-09-08. Full-dataset figures from the author documentation in the raw archives (checked 2026-09-08): 464 retired cell IDs in the author pulse-feature tables (4,628 pulse samples), complete release; no cycle axis. Volume: Complete official file manifest captured 2026-09-08; author release files only.",TBSI & Lijing; retired batteries; pulse voltage response,full_source,known,not_applicable,known,,,
dataset_17,A123 LFP HEV-WLTP Drive Cycle,2021_A123_LFP_18650_2.5Ah_HEV-WLTP_25T,cycle_aging,eet-china collection,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/23MFNE,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgCXoroka133RpfJ32DUNCZAAVafbxgTDzoXOze9LVdWEdk?e=xi8U33,LFP,18650,3,0,3373.184626,,,pending,no,no,no,no,no,2026/9/8,"Full-source metrics audit 2026-09-08. Full-dataset figures from the author documentation in the raw archives (checked 2026-09-08): 3 A123 2.5 Ah cells (95k / 206k / 300k km cases), complete release; drive-cycle aging has no simple cycle count. Volume: All three author drive-history ZIPs plus original summary XLSX; ingested TAB not counted again.",A123 2.5Ah LFP 18650; HEV WLTP drive cycle; SOH 15-70%,full_source,known,unknown,known,,,
dataset_18,A123 LFP Calendar+Cycle 50°C,2022_A123_LFP_18650_1.1Ah_CalCyc_50T,cycle_aging,eet-china collection,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/OLBXKT,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgBpRY44AYW3Qayk7hCi38G5AZB-ogUecwQ-VdBexMVgOmU?e=wkHvCs,LFP,18650,20,82600,26298.87975,,,pending,no,no,no,no,no,2026/9/8,"Full-source metrics audit 2026-09-08. Full-dataset figures from the author documentation in the raw archives (checked 2026-09-08): 20 A123 18650 cells (all 20 cell archives held); cycles = sum of the last RPT aging-cycle count per cell (82,600). Volume: Complete set of author source ZIP archives; no extracted or converted files.",20× A123 LFP 18650 1.1Ah; calendar + cycle aging at 50°C,full_source,known,known,known,,,
dataset_19,Oxford Path-Dependent Degradation,2020_Oxford_Howey_LiIon_PathDep_MultiC_MultiT,cycle_aging,eet-china collection,https://ora.ox.ac.uk/objects/uuid:de62b5d2-6154-426d-bcbb-30253ddb7d1e,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgAP3unusCzYTJafZgLbW-NQAUjOh4ieMtAtYmzfrTNzrW0?e=NSScEL,Multi,Multi,28,0,8950.273323,,,pending,no,no,no,no,no,2026/9/8,"Full-source metrics audit 2026-09-08. Complete-study cell count retained from author documentation. Earlier estimated cycle total removed pending a complete source-cycle audit. Volume: Complete Parts 1-3 ZIP payloads, including EIS and half-cell files; accompanying guides excluded.",Oxford Howey group; 3-part path-dependent degradation dataset,full_source,known,unknown,known,,,
dataset_20,Mendeley Drive Cycle Multi-Chem,2021_Mendeley_LFP-NCA-NMC_18650_DriveCycle_MultiT,characterization,eet-china collection,https://data.mendeley.com/datasets/29kw38kzwj/1,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgCG4BbE2uK4Qo83K8yJHrsxAfBMciPWuE5YPshAhvgFH2c?e=y7EawZ,Multi,18650,,0,102.805962,,,pending,no,no,no,no,no,2026/9/8,Full-source metrics audit 2026-09-08.  Volume: Complete official file manifest captured 2026-09-08; author release files only.,LFP+NCA+NMC; DST/FUDS/UDDS/WLTP/US06 drive cycles; 4 temps,full_source,unknown,not_applicable,known,,,
dataset_21,CMU VTC6 eVTOL Duty Cycle,2023_CMU_Bills_NMC_18650_VTC6_eVTOL_25T,cycle_aging,Everlasty/4TU collection,https://figshare.com/articles/dataset/eVTOL_Battery_Dataset/14226830,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgDFu5H98Ti8QY8PrtyveawVAUWZLQ3wdhl0DCimDEi5ejU?e=Jokp4v,NMC,18650,22,21392,1539.394976,,,pending,no,no,no,no,no,2026/9/8,"Full-source metrics audit 2026-09-08. Full-dataset figures from the author documentation in the raw archives (checked 2026-09-08): 22 cells (VAH01-VAH30) in the complete figshare release; 21,392 cycles as reported for the dataset. The tester cycleNumber in the files is not accurate (7,139 distinct values). Volume: Complete Figshare version 3 official file list; original release files only.",Carnegie Mellon Bills group; Sony-Murata VTC6; eVTOL duty cycle; Nat Sci Data 2023,full_source,known,known,known,,,
dataset_22,EVERLASTING 4TU (25°C+45°C),2022_EVERLASTING_4TU_NMC-SiGr_18650_3.5Ah_MultiC_25-45T,cycle_aging,Everlasty/4TU collection,https://data.4tu.nl/datasets/e19fe272-4f46-450c-9125-6545c4c1a98b,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgC5NJyK0KTKQ64QWk8NUmInASWVj_BBUcMn_ktr3HUle7o?e=E9OSWh,NMC,18650,17,0,9134.458452,,,pending,no,no,no,no,no,2026/9/8,"Full-source metrics audit 2026-09-08. Corrected 4TU cycling release e19fe272, same as dataset_23. 17 author per-cell CSVs; calendar record e42bca59 is a different study and is not counted here. Volume: Complete corrected 4TU e19fe272 author file list (17 cell CSVs + README); same source under IDs 22/23, counted once.",EU EVERLASTING; Ni-rich Si/Gr 3.5Ah 18650; multi C-rate at 25°C & 45°C,full_source,known,unknown,known,EVERLASTING_e19fe272,EVERLASTING_e19fe272,EVERLASTING_e19fe272
dataset_23,EVERLASTING 4TU (25°C+45°C),2022_EVERLASTING_4TU_NMC_18650_3.5Ah_MultiC_25-45T,cycle_aging,Everlasty/4TU collection,https://data.4tu.nl/datasets/e19fe272-4f46-450c-9125-6545c4c1a98b,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgDMnm7IbveySa0cehfkpl5tATGVmgHqrangERU5J547JLY?e=dVSwJF,NMC,18650,17,0,9134.458452,,,pending,no,no,no,no,no,2026/9/8,"Full-source metrics audit 2026-09-08. 17 cell identities in the complete author file list; the previous count of 18 included a README. Shared release with dataset_22. Volume: Complete corrected 4TU e19fe272 author file list (17 cell CSVs + README); same source under IDs 22/23, counted once.",EU EVERLASTING; Ni-rich Si/Gr 3.5Ah 18650; multi C-rate at 25°C & 45°C,full_source,known,unknown,known,EVERLASTING_e19fe272,EVERLASTING_e19fe272,EVERLASTING_e19fe272
dataset_24,Stanford-Onori Galvanostatic Discharge,2021_Stanford_Onori_NMC-NCA-LFP_18650_MultiC_MultiT,characterization,Stanford Onori Lab,https://data.mendeley.com/datasets/kxsbr4x3j2/2,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgC9kAYKGaOkTp-kP56gqRdgAa1iNwCzcF0Epne1cQ_bjkc?e=YYpklI,Multi,18650,,0,638.231736,,,pending,no,no,no,no,no,2026/9/8,Full-source metrics audit 2026-09-08.  Volume: Complete official file manifest captured 2026-09-08; author release files only.,Stanford Onori Lab; NMC+NCA+LFP 18650; multi-rate multi-temp galvanostatic,full_source,unknown,not_applicable,known,,,
dataset_25,Stanford-Onori EV Real-Driving,2022_Stanford_Onori_NMC_Cyl_RealDriving_MultiT,cycle_aging,Stanford Onori Lab,https://osf.io/qsabn/,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgDTdOwzyY70QpcENz78IPHYAdo6GZASgoVgbbzH1WLKpYM?e=TbPxYs,NMC,Cyl,10,0,0,,,pending,no,no,no,no,no,2026/9/8,"Full-source metrics audit 2026-09-08. 10 original LG INR21700-M50T cells; original UDDS full cycle count and full release size remain unknown while source traversal is incomplete. Volume: Full original release volume is unknown; local subset, processed-copy and unverified legacy sizes are excluded.",Stanford Onori Lab; NMC cells; real EV driving profile aging,full_source,known,unknown,unknown,Onori_first_second_life,,
dataset_26,Stanford-Onori Parallel Cells,2024_Stanford_Onori_LiIon_Parallel_MultiC_25T,characterization,Stanford Onori Lab,https://data.mendeley.com/datasets/zh58byr53c/1,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgCFLHnq6CLRQIlTdsmmOiVoAWE7LmUEp57XuHie5bpSdLw?e=AQhtTc,Multi,18650,,0,762.469662,,,pending,no,no,no,no,no,2026/9/8,Full-source metrics audit 2026-09-08.  Volume: Complete official file manifest captured 2026-09-08; author release files only.,Stanford Onori Lab; parallel-connected Li-ion; cell-to-cell imbalance,full_source,unknown,not_applicable,known,,,
dataset_27,Stanford-Onori Second-Life Grid,2024_Stanford_Onori_LiIon_SecondLife_GridStorage_25T,cycle_aging,Stanford Onori Lab,https://osf.io/8jnr5/,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgA97EpKF88jS7lxt8eZa2T8AWuN18p0SabzbDtkbftF5g8?e=Nt7BWI,Multi,Multi,6,0,2153.883052,,,pending,no,no,no,no,no,2026/9/8,"Full-source metrics audit 2026-09-08. Six second-life cells in the author paper DOI 10.1016/j.dib.2024.111046, continued from the ten-cell first-life dataset_25; same physical-cell group. Volume: Complete author second-life ZIP from OSF root listing; not the partial legacy local folder.",Stanford Onori Lab; second-life Li-ion grid storage cycling aging,full_source,known,unknown,known,Onori_first_second_life,,
dataset_28,Stanford-Onori LFP SOC ML,2024_Stanford_Onori_LFP_Cyl_SOC-ML_25T,soc_estimation,Stanford Onori Lab,https://github.com/LeXuSECL/ML_SOC_Estimation_ACS_Energy_Letters,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgDnvOSEcdVgSZS5sfWSLF_CAeOK4rRPvdgW8obpwV9YVr0?e=4a3J2w,LFP,Cyl,,0,2419.728427,,,pending,no,no,no,no,no,2026/9/8,Full-source metrics audit 2026-09-08.  Volume: Complete author GitHub archive at pinned commit 8855592; not an extracted folder.,Stanford Onori Lab; LFP; coulomb counting + ML SOC estimation,full_source,unknown,not_applicable,known,,,
dataset_29,Stanford-SLAC Decade Calendar Aging,2025_Stanford_Chueh_MultiChem_Calendar_MultiT,calendar_aging,Stanford Onori Lab,https://osf.io/ju325/,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgBqu1mPtw4hRbGcJpxnMxohAesvvTCFjojoGpkj0xa3ttI?e=fDVCd7,Multi,Multi,259,0,850.754705,,,pending,no,no,no,no,no,2026/9/8,"Full-source metrics audit 2026-09-08. 259 distinct Cell_id entries in the author Joule_cell_id.csv, including 27 cells excluded from paper analysis (232 analyzed). Count the original release, not the analysis subset. Volume: Complete official file manifest captured 2026-09-08; author release files only.",259 source cell IDs; 232 included in the paper analysis. Author raw and summary archives; 13-year calendar aging study.,full_source,known,not_applicable,known,,,
dataset_30,Beihang EV Fault Diagnosis,2025_Beihang_LiIon_EV-BMS_MultiChem_MultiT,field_fault_diagnosis,https://doi.org/10.1038/s41467-025-56832-8,https://doi.org/10.5281/zenodo.10656500,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgBa8Ai0y8C0R5gx4SvlkYYcAYfIEjg5VrrRzDY8ZR_Z_yg?e=5hgc3i,Multi,EV-BMS,515 EVs,0,38100,,,pending,no,no,no,no,no,2026/9/8,Full-source metrics audit 2026-09-08.  Volume: Author Zenodo 10656500 full seven-archive listing: 38.1 GB (rounded). GIS/DTI local subset is not used.,Beihang Univ; 515 real EVs; 18.2M BMS entries; 3 manufacturers; fault labels TR/EL/ISC/EA; Nat Commun 2025,full_source,not_applicable,unknown,author_rounded,,,
dataset_31,Mendeley NMC811-LFP Relaxation,2023_Mendeley_NMC811-LFP_18650_Relaxation_MultiT,eis,eet-china collection,https://data.mendeley.com/datasets/y8nstxmdrg/1,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgA-px8bByeZTZ6e6LK94owSAchC3h0mGXL0s9hy6KoAFS4?e=REJLlF,Multi,18650,,0,1292.019622,,,pending,no,no,no,no,no,2026/9/8,Full-source metrics audit 2026-09-08.  Volume: Complete official file manifest captured 2026-09-08; author release files only.,Auxiliary physical dataset: relaxation/rest voltage; NMC811+LFP; SOH estimation reference,full_source,unknown,not_applicable,known,,,
dataset_32,Figshare LFP Pouch EIS,2023_Figshare_LFP_Pouch_0.6Ah_EIS_MultiT,eis,eet-china collection,https://figshare.com/articles/dataset/Li-ion_Batteries_EIS_measurements/23736582,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgC7krq2n_GqS6g3JYOsFbj3ARyxru8g_dwgn8woHVVEmUM?e=KhufHX,LFP,Pouch,,0,0.465799,,,pending,no,no,no,no,no,2026/9/8,Full-source metrics audit 2026-09-08.  Volume: Complete Figshare version 1 official file list; original release files only.,Auxiliary physical dataset: EIS frequency sweep; 600 mAh LFP pouch; impedance spectra,full_source,unknown,not_applicable,known,,,
dataset_33,TUM Thermal Runaway Propagation,2023_TUM_NMC811-LFP_Auto_ThermalRunaway_MultiT,thermal_runaway,eet-china collection,https://mediatum.ub.tum.de/node?id=1717758,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgCOGktuuuDqSYXNk9xVkk62AdHPq7VHsekMzDC2kOEqgZU?e=lv9vSC,Multi,Auto,,0,841.320832,,,pending,no,no,no,no,no,2026/9/8,Full-source metrics audit 2026-09-08.  Volume: Every file in the complete author FTP checksum list verified against upstream SHA-512; sum of matched original file bytes.,Auxiliary physical dataset: thermal runaway propagation; NMC-811+LFP automotive modules,full_source,unknown,not_applicable,known,,,
dataset_34,Mendeley Mech-Induced Thermal Runaway,2023_Mendeley_LiIon_MechAbuse_NailPenetration_MultiT,thermal_runaway,eet-china collection,https://data.mendeley.com/datasets/sn2kv34r4h/2,https://entuedu-my.sharepoint.com/:f:/g/personal/hao-wang_staff_main_ntu_edu_sg/IgBxqo5F5qKwQbH--4jPp3IpASRJpR9OyMGEu1SUu4mLSLw?e=Lhdp6u,Unknown,Multi,109,0,292.28331,,,pending,no,no,no,no,no,2026/9/8,"Full-source metrics audit 2026-09-08. 54 ORNL + 55 SNL pouch cells in the author mechanical-abuse study, as described by BatteryArchive; 109 total, no cycling axis. Volume: Complete official file manifest captured 2026-09-08; author release files only.",Auxiliary physical dataset: mechanical abuse / nail penetration; thermal runaway trigger,full_source,known,not_applicable,known,,,
